timestamp,text;;
"@sepdum… https://t.co/OUjNdZZ7zn""";;
"2021-05-23 05:16:00,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/uyZCTFJGVh""";;
"2021-05-23 05:15:58,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/laKb7spIf5""";;
"2021-05-23 05:15:58,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/My7zt5hhsl""";;
"2021-05-23 05:15:56,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/ppUYm2LI3f""";;
"2021-05-23 05:15:56,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/psxoWE5lMo""";;
"2021-05-23 05:15:55,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/hlwUZ8WgC7""";;
"2021-05-23 05:15:40,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/PSLzZvyGmC""";;
"2021-05-23 05:15:28,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
